"FB_ID","Ingredient_ID","Weight"
22700000,22701000,85.0
22700000,21304200,15.0
22701000,10193,70.0
22701000,6150,30.0
22701000,2047,0.8
22704010,19041,70.0
22704010,10007,30.0
22705010,10188,100.0
22705010,2047,0.8
22706010,10188,100.0
22706010,2047,0.8
22707010,10173,100.0
22707010,2047,0.8
22707020,10132,100.0
22708010,10879,70.0
22708010,10007,30.0
22708010,2047,0.5
22708020,10193,90.0
22708020,10007,10.0
22708020,2047,0.7
22709010,19041,100.0
22810010,3008,100.0
22820000,3017,100.0
23000100,17002,100.0
23000100,2047,0.8
23101000,17027,50.0
23101000,17024,50.0
23101000,2047,0.8
23132000,17225,100.0
23132000,2047,0.8
23150100,17169,100.0
23150100,2047,0.8
23201010,17427,100.0
23201010,2047,0.8
23220010,17424,100.0
23220010,2047,0.8
23220020,22101000,36.0
23220020,23201010,35.0
23220020,99995000,20.0
23220020,82101000,9.0
23310000,17179,100.0
23310000,2047,0.8
23321000,17344,50.0
23321000,17345,50.0
23321000,2047,0.8
23321200,17345,100.0
23321200,2047,0.8
23321900,17343,100.0
23321900,4002,8.0
23321900,2047,5.0
23321900,19335,10.0
23322100,17344,70.0
23322100,10007,30.0
23322100,2047,2.0
23323100,17173,100.0
23323100,2047,0.8
23323500,17147,100.0
23323500,2047,0.8
23324100,17163,100.0
23324100,2047,0.8
23326100,17148,100.0
23326100,2047,0.8
23331100,17159,100.0
23331100,2047,0.8
23332100,17176,100.0
23332100,2047,0.8
23333100,17184,100.0
23333100,2047,0.8
23334100,17151,100.0
23334100,2047,0.8
23335100,17182,100.0
23335100,2047,0.8
23340100,17159,100.0
23340100,2047,0.8
23345100,17159,100.0
23345100,2047,0.8
23350100,5642,100.0
23350100,2047,0.84
24100000,5000,50.0
24100000,5334,30.0
24100000,5319,20.0
24100010,5358,50.0
24100010,5361,30.0
24100010,5359,20.0
24100020,5000,50.0
24100020,5334,30.0
24100020,5319,20.0
24102000,24122131,50.0
24102000,24152231,30.0
24102000,24142301,20.0
24102010,24122130,50.0
24102010,24152230,30.0
24102010,24142300,20.0
24102020,24122131,50.0
24102020,24152231,30.0
24102020,24142301,20.0
24102050,5000,50.0
24102050,5334,30.0
24102050,5319,20.0
24102060,5358,50.0
24102060,5361,30.0
24102060,5359,20.0
24102070,5000,50.0
24102070,5334,30.0
24102070,5319,20.0
24103000,24123120,50.0
24103000,24153220,30.0
24103000,24143220,20.0
24103010,24123110,50.0
24103010,24153210,30.0
24103010,24143210,20.0
24103020,24123120,50.0
24103020,24153220,30.0
24103020,24143220,20.0
24103050,24123301,50.0
